pointid,ph_cacl2,ph_h20,ec,oc,caco3,p,n,k,Rel_soil_fertility_category
47862690,1,1,0,0,0,0,0,0,0
47882704,1,1,0,0,0,0,0,0,0
47982688,1,1,0,1,0,0,1,0,0
48022702,2,2,1,0,0,0,0,0,1
48062708,3,2,0,0,0,0,0,0,1
48122730,3,3,0,0,1,2,0,1,1
48202738,2,2,0,0,1,2,0,1,1
48222780,4,4,1,0,1,0,0,1,2
48342774,4,4,1,0,1,2,1,1,2
48442784,4,4,0,0,0,0,0,0,2
48462776,4,4,1,0,1,0,0,1,2
48482762,4,4,1,0,3,1,1,1,2
46562790,4,4,0,0,0,1,0,0,2
46662780,2,2,0,1,1,0,1,0,1
46662794,0,0,0,1,1,0,1,1,0
46722786,3,3,0,0,1,2,0,1,1
46722792,2,2,1,0,1,0,0,1,1
46782766,3,3,1,2,0,0,3,2,1
46782778,3,3,1,0,1,2,1,1,1
46842852,2,2,1,1,1,0,1,1,1
46862842,1,1,0,0,1,1,1,1,0
46942756,3,2,1,1,0,0,2,0,1
46942842,2,2,0,0,1,2,0,2,1
46942846,0,0,0,1,1,1,1,0,0
46942878,0,0,0,1,0,0,1,0,0
46982766,0,0,0,0,0,0,0,0,0
47002806,1,1,0,1,0,0,1,0,0
47002816,0,0,0,2,0,1,2,0,0
47022848,2,2,0,0,1,2,0,1,1
47022884,0,0,0,1,1,1,0,0,0
47042780,3,3,1,1,0,0,1,0,1
47042788,3,3,1,1,0,0,2,0,1
47042874,2,2,0,0,0,1,0,0,1
47082754,4,3,1,2,1,0,2,0,2
47082776,1,1,0,0,0,0,1,0,0
47082858,1,1,0,0,1,0,0,0,0
47102754,3,3,1,3,1,0,2,0,1
47122762,4,4,0,0,0,0,0,0,2
47122882,3,3,0,0,1,0,0,0,1
47182762,3,3,1,2,0,0,2,0,1
47182802,1,1,0,0,0,0,0,0,0
47182862,1,1,0,0,1,0,0,0,0
47202790,2,2,0,0,1,1,1,0,1
47202848,2,2,0,1,1,0,1,0,1
47222878,0,0,0,0,0,0,0,0,0
47242764,3,3,1,2,1,0,2,0,1
47242774,3,2,1,1,0,0,2,1,1
47282790,2,2,0,0,1,1,1,0,1
47302860,0,0,0,1,0,0,0,0,0
47322802,4,4,0,0,1,1,0,1,2
47362808,3,3,1,0,1,4,0,2,1
47362862,2,2,0,0,0,0,0,0,1
47402780,1,1,1,1,1,0,1,1,0
47422872,1,1,0,1,1,1,1,0,0
47462794,1,1,0,0,0,0,0,0,0
47462830,4,4,1,0,0,1,0,2,2
47482810,4,4,1,0,1,3,0,2,2
47482864,3,3,1,1,0,0,1,1,1
47502772,3,2,2,4,0,2,4,2,1
47522746,1,1,0,0,0,0,1,0,0
47522800,1,1,0,0,0,0,0,0,0
47522858,4,4,1,0,1,1,0,2,2
47522872,2,2,0,0,1,1,0,1,1
47582744,3,3,2,3,2,0,2,0,1
47602836,4,3,1,0,3,0,1,0,2
47622754,0,1,1,4,1,2,4,1,0
47642808,2,2,1,0,1,1,1,1,1
47642862,4,4,1,0,0,0,0,2,2
47662810,4,4,0,0,0,0,0,1,2
47662860,4,4,0,0,0,0,0,2,2
47682754,1,1,1,4,0,2,3,1,0
47702818,4,4,1,0,0,0,0,1,2
47722780,3,3,2,3,1,0,3,0,1
47722816,4,4,1,0,2,0,0,1,2
47742758,4,3,2,1,2,0,2,1,2
47742848,4,4,0,0,2,0,0,1,2
47762734,3,3,2,1,2,1,2,0,1
47782854,4,4,1,0,0,0,0,2,2
47802732,2,1,1,1,1,1,1,0,1
47802746,1,0,1,1,0,1,2,1,0
47802840,4,4,1,0,2,0,0,1,2
47822764,4,4,1,1,2,2,1,2,2
47822830,4,4,0,0,0,0,0,1,2
47822862,4,4,0,0,0,0,0,1,2
47862838,4,4,1,0,0,0,0,1,2
